id,manifest,num,pages
4774062,https://www.digital.archives.go.jp/api/iiif/4774062/manifest.json,304-0287,131
4771174,https://www.digital.archives.go.jp/api/iiif/4771174/manifest.json,308-0072,131
5056809,https://www.digital.archives.go.jp/api/iiif/5056809/manifest.json,363-0238,131
3322975,https://www.digital.archives.go.jp/api/iiif/3322975/manifest.json,366-0081,131
4270253,https://www.digital.archives.go.jp/api/iiif/4270253/manifest.json,366-0089,131
4260792,https://www.digital.archives.go.jp/api/iiif/4260792/manifest.json,367-0050,131
5390811,https://www.digital.archives.go.jp/api/iiif/5390811/manifest.json,367-0112,131
4460566,https://www.digital.archives.go.jp/api/iiif/4460566/manifest.json,075-0001,130
4487344,https://www.digital.archives.go.jp/api/iiif/4487344/manifest.json,126-0002,130
4495265,https://www.digital.archives.go.jp/api/iiif/4495265/manifest.json,135-0007,130
4426815,https://www.digital.archives.go.jp/api/iiif/4426815/manifest.json,195-0013,130
4918908,https://www.digital.archives.go.jp/api/iiif/4918908/manifest.json,305-0172,130
1075686,https://www.digital.archives.go.jp/api/iiif/1075686/manifest.json,307-0075,130
5056852,https://www.digital.archives.go.jp/api/iiif/5056852/manifest.json,364-0071,130
5065356,https://www.digital.archives.go.jp/api/iiif/5065356/manifest.json,366-0080,130
3323265,https://www.digital.archives.go.jp/api/iiif/3323265/manifest.json,366-0081,130
5065486,https://www.digital.archives.go.jp/api/iiif/5065486/manifest.json,366-0083,130
4271173,https://www.digital.archives.go.jp/api/iiif/4271173/manifest.json,367-0050,130
5394994,https://www.digital.archives.go.jp/api/iiif/5394994/manifest.json,369-0008,130
4776112,https://www.digital.archives.go.jp/api/iiif/4776112/manifest.json,102-0002,129
4500864,https://www.digital.archives.go.jp/api/iiif/4500864/manifest.json,188-0001,129
4487522,https://www.digital.archives.go.jp/api/iiif/4487522/manifest.json,188-0001,129
4430471,https://www.digital.archives.go.jp/api/iiif/4430471/manifest.json,194-0019,129
3602528,https://www.digital.archives.go.jp/api/iiif/3602528/manifest.json,293-0040,129
4916234,https://www.digital.archives.go.jp/api/iiif/4916234/manifest.json,303-0001,129
4916488,https://www.digital.archives.go.jp/api/iiif/4916488/manifest.json,303-0002,129
5049914,https://www.digital.archives.go.jp/api/iiif/5049914/manifest.json,309-0173,129
5064786,https://www.digital.archives.go.jp/api/iiif/5064786/manifest.json,366-0032,129
3323119,https://www.digital.archives.go.jp/api/iiif/3323119/manifest.json,366-0081,129
4272069,https://www.digital.archives.go.jp/api/iiif/4272069/manifest.json,367-0050,129
5394914,https://www.digital.archives.go.jp/api/iiif/5394914/manifest.json,369-0002,129
4452447,https://www.digital.archives.go.jp/api/iiif/4452447/manifest.json,115-0001,128
4494611,https://www.digital.archives.go.jp/api/iiif/4494611/manifest.json,135-0003,128
4226964,https://www.digital.archives.go.jp/api/iiif/4226964/manifest.json,300-0154,128
584433,https://www.digital.archives.go.jp/api/iiif/584433/manifest.json,301-0062,128
4916243,https://www.digital.archives.go.jp/api/iiif/4916243/manifest.json,303-0001,128
4916484,https://www.digital.archives.go.jp/api/iiif/4916484/manifest.json,303-0002,128
3743362,https://www.digital.archives.go.jp/api/iiif/3743362/manifest.json,307-0088,128
4771221,https://www.digital.archives.go.jp/api/iiif/4771221/manifest.json,308-0086,128
4768318,https://www.digital.archives.go.jp/api/iiif/4768318/manifest.json,311-0213,128
3746192,https://www.digital.archives.go.jp/api/iiif/3746192/manifest.json,366-0031,128
5389650,https://www.digital.archives.go.jp/api/iiif/5389650/manifest.json,367-0008,128
3326508,https://www.digital.archives.go.jp/api/iiif/3326508/manifest.json,367-0051,128
5394991,https://www.digital.archives.go.jp/api/iiif/5394991/manifest.json,369-0008,128
4433438,https://www.digital.archives.go.jp/api/iiif/4433438/manifest.json,059-0011,127
1068362,https://www.digital.archives.go.jp/api/iiif/1068362/manifest.json,117-0017,127
4493945,https://www.digital.archives.go.jp/api/iiif/4493945/manifest.json,134-0016,127
1072801,https://www.digital.archives.go.jp/api/iiif/1072801/manifest.json,297-0069,127
4229712,https://www.digital.archives.go.jp/api/iiif/4229712/manifest.json,301-0029,127
1078238,https://www.digital.archives.go.jp/api/iiif/1078238/manifest.json,306-0152,127
1071603,https://www.digital.archives.go.jp/api/iiif/1071603/manifest.json,313-0110,127
5065472,https://www.digital.archives.go.jp/api/iiif/5065472/manifest.json,366-0083,127
5390477,https://www.digital.archives.go.jp/api/iiif/5390477/manifest.json,367-0064,127
4756769,https://www.digital.archives.go.jp/api/iiif/4756769/manifest.json,058-0002,126
4433334,https://www.digital.archives.go.jp/api/iiif/4433334/manifest.json,078-0009,126
4465445,https://www.digital.archives.go.jp/api/iiif/4465445/manifest.json,130-0001,126
4487281,https://www.digital.archives.go.jp/api/iiif/4487281/manifest.json,188-0001,126
4427750,https://www.digital.archives.go.jp/api/iiif/4427750/manifest.json,195-0003,126
4916220,https://www.digital.archives.go.jp/api/iiif/4916220/manifest.json,303-0001,126
4772240,https://www.digital.archives.go.jp/api/iiif/4772240/manifest.json,305-0265,126
4772520,https://www.digital.archives.go.jp/api/iiif/4772520/manifest.json,307-0045,126
3976971,https://www.digital.archives.go.jp/api/iiif/3976971/manifest.json,366-0040,126
